Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Forests and semi-natural areas,3,4951175.0,697635.0,413,304,525,3369,0.7303543913713217,2.077428780131483,1.0953909359352934,-0.834467737544219
Forests and semi-natural areas,3,4951175.0,697645.0,485,343,1081,3107,0.4837631327602559,0.8503315705531772,0.7255580756834189,-0.8011594202898319
Agricultural Areas,2,4951165.0,697335.0,1158,1356,1757,3278,0.30208540218470104,0.7403621495327103,0.45308310991957107,-0.4147604661199738
Agricultural Areas,2,4951165.0,697345.0,1205,1335,1661,3150,0.30949906464351884,0.9124892756465253,0.4642003533201704,-0.4046822742474826
Agricultural Areas,2,4951165.0,697355.0,1058,1035,1661,3150,0.30949906464351884,0.7183519876495561,0.4642003533201704,-0.5053763440860094
Agricultural Areas,2,4951165.0,697365.0,834,888,1511,2870,0.31020314996575415,0.5979408658922915,0.4652516261554262,-0.5274081958488417
Agricultural Areas,2,4951165.0,697375.0,896,1072,1511,2870,0.31020314996575415,0.6512363427257044,0.4652516261554262,-0.45611364789445824
Agricultural Areas,2,4951165.0,697385.0,958,1285,1647,3070,0.3016747933008204,0.6167649098474342,0.4524642289348172,-0.40987370838116166
Agricultural Areas,2,4951165.0,697395.0,737,1061,1647,3070,0.3016747933008204,0.47909231701568916,0.4524642289348172,-0.48632292423140916
Agricultural Areas,2,4951165.0,697405.0,710,757,1213,2611,0.36558577405856785,0.7656078860898138,0.5483069682311413,-0.5504750593824065
Urban Areas,1,4951165.0,697415.0,912,1021,1213,2611,0.36558577405856785,1.1459016393442623,0.5483069682311413,-0.4377753303964637
Urban Areas,1,4951165.0,697425.0,1062,1485,1752,2963,0.2568398727465481,0.5493558337869715,0.38521895875304846,-0.33228417266186305
Agricultural Areas,2,4951165.0,697435.0,1070,1630,1752,2963,0.2568398727465481,0.5554026784076316,0.38521895875304846,-0.29022425430001547
Agricultural Areas,2,4951165.0,697445.0,1080,1671,1680,3335,0.3300099700897242,0.7783107599699022,0.49496560661947964,-0.33240111865760424
Agricultural Areas,2,4951165.0,697455.0,1037,1631,1680,3335,0.3300099700897242,0.7337944488782477,0.49496560661947964,-0.3431333064840849
Agricultural Areas,2,4951165.0,697465.0,978,1562,1322,3617,0.4646689613281947,1.3612099644128113,0.6969328879441239,-0.3967947480208458
Agricultural Areas,2,4951165.0,697475.0,935,1350,1322,3617,0.4646689613281947,1.2644628099173554,0.6969328879441239,-0.4564123213207075
Agricultural Areas,2,4951165.0,697485.0,807,1050,1005,3539,0.557658450704213,1.800995024875622,0.8363956430850479,-0.5423839616474059
Forests and semi-natural areas,3,4951165.0,697495.0,612,654,1005,3539,0.557658450704213,1.2720883534136547,0.8363956430850479,-0.6880515144287935
Forests and semi-natural areas,3,4951165.0,697505.0,493,378,698,3624,0.6770013882461666,1.7774268011177257,1.0153846153846153,-0.8110944527735929
Forests and semi-natural areas,3,4951165.0,697515.0,434,295,698,3624,0.6770013882461666,1.604870557261957,1.0153846153846153,-0.8494513906608612
Forests and semi-natural areas,3,4951165.0,697525.0,412,263,582,3724,0.7296795169530718,1.903319602616913,1.0943921978404738,-0.868071231502361
Forests and semi-natural areas,3,4951165.0,697535.0,408,262,582,3724,0.7296795169530718,1.8895838344960307,1.0943921978404738,-0.8685398896136259
Forests and semi-natural areas,3,4951165.0,697545.0,442,264,584,3677,0.7258859422670564,1.9996121024049651,1.08870116156283,-0.8660238518142384
Forests and semi-natural areas,3,4951165.0,697555.0,445,278,584,3677,0.7258859422670564,2.0113148653921185,1.08870116156283,-0.8594184576485244
Forests and semi-natural areas,3,4951165.0,697565.0,427,261,683,3106,0.6394827131169005,1.5134291068082448,0.9590975062673176,-0.8449658449658198
Forests and semi-natural areas,3,4951165.0,697575.0,381,262,683,3106,0.6394827131169005,1.3933294997124783,0.9590975062673176,-0.844418052256507
Forests and semi-natural areas,3,4951165.0,697585.0,363,283,646,2333,0.5662974152399944,1.2093189964157707,0.8493035744252392,-0.7836391437308569
Forests and semi-natural areas,3,4951165.0,697595.0,352,290,646,2333,0.5662974152399944,1.1813725490196079,0.8493035744252392,-0.7788791460159825
Forests and semi-natural areas,3,4951165.0,697605.0,330,214,548,2735,0.6661590009137781,1.540574809805579,0.9990863407948835,-0.8548660562902389
Forests and semi-natural areas,3,4951165.0,697615.0,386,258,548,2735,0.6661590009137781,1.7473633748801534,0.9990863407948835,-0.8275977280320472
Forests and semi-natural areas,3,4951165.0,697625.0,414,283,525,3369,0.7303543913713217,2.0819912152269398,1.0953909359352934,-0.8450164293537556
Forests and semi-natural areas,3,4951165.0,697635.0,415,291,525,3369,0.7303543913713217,2.086573734409391,1.0953909359352934,-0.840983606557354
Forests and semi-natural areas,3,4951165.0,697645.0,526,426,1081,3107,0.4837631327602559,0.8966188705965658,0.7255580756834189,-0.7588451740730042
Agricultural Areas,2,4951155.0,697335.0,1416,1560,1756,3306,0.3062030817858493,1.2022959975178404,0.45925925925925926,-0.3588162762022121
Agricultural Areas,2,4951155.0,697345.0,1308,1453,1652,3201,0.3191840098907826,1.1720641646489105,0.47872669207788193,-0.3755908895573619
Agricultural Areas,2,4951155.0,697355.0,994,1161,1652,3201,0.3191840098907826,0.6843081816575367,0.47872669207788193,-0.46767537826683936
Agricultural Areas,2,4951155.0,697365.0,1055,1332,1326,3046,0.39341262580053993,1.391360621258696,0.5900514579759862,-0.3915029693924077
Agricultural Areas,2,4951155.0,697375.0,928,1064,1326,3046,0.39341262580053993,1.0635666584219639,0.5900514579759862,-0.4822384428223727
Agricultural Areas,2,4951155.0,697385.0,778,813,1256,2847,0.3877650499634319,0.874367992965487,0.5815767028146704,-0.5557377049180175
Agricultural Areas,2,4951155.0,697395.0,700,833,1256,2847,0.3877650499634319,0.7747370471367355,0.5815767028146704,-0.5472826086956373
Agricultural Areas,2,4951155.0,697405.0,762,748,1403,2681,0.31292850146914025,0.5933147632311978,0.4693352919573999,-0.5637212015164607
Urban Areas,1,4951155.0,697415.0,998,1202,1403,2681,0.31292850146914025,0.8838174273858921,0.4693352919573999,-0.38089106361060054
Urban Areas,1,4951155.0,697425.0,1075,1524,1778,2886,0.23756432246997775,0.5043240782885753,0.35630828598992387,-0.30884353741495896
Agricultural Areas,2,4951155.0,697435.0,1119,1685,1778,2886,0.23756432246997775,0.5365617433414044,0.35630828598992387,-0.26274338219207477
Agricultural Areas,2,4951155.0,697445.0,1110,1698,1819,3231,0.2796039603960341,0.6064250128843841,0.41936441936441937,-0.3110164333536151
Agricultural Areas,2,4951155.0,697455.0,970,1391,1819,3231,0.2796039603960341,0.513753456556542,0.41936441936441937,-0.3980960623106794
Agricultural Areas,2,4951155.0,697465.0,963,1321,1695,3473,0.3440402476780119,0.6922058709024371,0.5160104479055819,-0.44889445139757095
Agricultural Areas,2,4951155.0,697475.0,906,1366,1695,3473,0.3440402476780119,0.6489998539932836,0.5160104479055819,-0.43542054143417164
Agricultural Areas,2,4951155.0,697485.0,1021,1494,1676,3353,0.3334658977927951,0.7288135593220338,0.5001491201908739,-0.383536207963681
Agricultural Areas,2,4951155.0,697495.0,870,1210,1676,3353,0.3334658977927951,0.6089324618736384,0.5001491201908739,-0.46964716195484396
Agricultural Areas,2,4951155.0,697505.0,741,870,1006,3277,0.5302358160167983,1.5113802741914015,0.7952608847904751,-0.5804195804195664
Agricultural Areas,2,4951155.0,697515.0,543,453,1006,3277,0.5302358160167983,1.0831822951445198,0.7952608847904751,-0.7571045576407304
Forests and semi-natural areas,3,4951155.0,697525.0,492,328,847,3750,0.6314988035675303,1.4111413571845226,0.9471451876019575,-0.8391368317802639
Forests and semi-natural areas,3,4951155.0,697535.0,437,264,847,3750,0.6314988035675303,1.3063630636306363,0.9471451876019575,-0.8684603886397392
Forests and semi-natural areas,3,4951155.0,697545.0,400,256,755,3887,0.6747091770788308,1.4451827242524917,1.0119547657512116,-0.8764180545498219
Forests and semi-natural areas,3,4951155.0,697555.0,413,254,755,3887,0.6747091770788308,1.4716661967860163,1.0119547657512116,-0.8773243177976122
Forests and semi-natural areas,3,4951155.0,697565.0,388,247,560,3419,0.7185222417692707,1.8468992248062015,1.0776479457218244,-0.865248226950331
Forests and semi-natural areas,3,4951155.0,697575.0,376,240,560,3419,0.7185222417692707,1.8049242424242424,1.0776479457218244,-0.8688166165618784
Forests and semi-natural areas,3,4951155.0,697585.0,395,238,541,3350,0.7219223849909864,1.9321777410923098,1.0827444430168316,-0.8673355629877127
Forests and semi-natural areas,3,4951155.0,697595.0,382,245,541,3350,0.7219223849909864,1.8816988210075027,1.0827444430168316,-0.8636995827538008
Forests and semi-natural areas,3,4951155.0,697605.0,329,208,519,3430,0.7371486452266209,1.7847946045370937,1.1055829851879986,-0.8856514568443956
Forests and semi-natural areas,3,4951155.0,697615.0,346,225,519,3430,0.7371486452266209,1.8424050632911393,1.1055829851879986,-0.8768809849520964
Forests and semi-natural areas,3,4951155.0,697625.0,391,255,616,3562,0.7051220679750908,1.7022997804229747,1.0575565394280244,-0.8663872150903624
Forests and semi-natural areas,3,4951155.0,697635.0,449,303,616,3562,0.7051220679750908,1.892586406270076,1.0575565394280244,-0.8432082794307673
Forests and semi-natural areas,3,4951155.0,697645.0,494,378,1082,3289,0.5049187828871996,0.9079315451703143,0.7572915475237333,-0.7938369239159859
Agricultural Areas,2,4951145.0,697335.0,1894,1626,1756,3306,0.3062030817858493,-10.704419889502763,0.45925925925925926,-0.3406326034063191
Agricultural Areas,2,4951145.0,697345.0,1731,1490,1652,3201,0.3191840098907826,29.44866920152091,0.47872669207788193,-0.36474099339159316
Agricultural Areas,2,4951145.0,697355.0,965,1072,1652,3201,0.3191840098907826,0.6589806857823535,0.47872669207788193,-0.49824479288554885
Agricultural Areas,2,4951145.0,697365.0,999,1201,1326,3046,0.39341262580053993,1.2248967383563596,0.5900514579759862,-0.4344242995055231
Agricultural Areas,2,4951145.0,697375.0,827,949,1326,3046,0.39341262580053993,0.8957400270805125,0.5900514579759862,-0.5249061326658191
